# x y
0.01 0.01 -1.99 71.087
0.01 0.01 -1.96 71.087
0.01 0.01 -1.93 71.087
0.01 0.01 -1.9 71.087
0.01 0.01 -1.87 71.087
0.01 0.01 -1.84 71.087
0.01 0.01 -1.81 71.087
0.01 0.01 -1.78 71.087
0.01 0.01 -1.75 71.087
0.01 0.01 -1.72 71.087
0.01 0.01 -1.69 71.087
0.01 0.01 -1.66 71.087
0.01 0.01 -1.63 71.087
0.01 0.01 -1.6 71.087
0.01 0.01 -1.57 71.087
0.01 0.01 -1.54 71.087
0.01 0.01 -1.51 71.087
0.01 0.01 -1.48 71.087
0.01 0.01 -1.45 71.087
0.01 0.01 -1.42 71.087
0.01 0.01 -1.39 71.087
0.01 0.01 -1.36 71.087
0.01 0.01 -1.33 71.087
0.01 0.01 -1.3 71.087
0.01 0.01 -1.27 71.087
0.01 0.01 -1.24 71.087
0.01 0.01 -1.21 71.087
0.01 0.01 -1.18 71.087
0.01 0.01 -1.15 71.087
0.01 0.01 -1.12 71.087
0.01 0.01 -1.09 71.087
0.01 0.01 -1.06 71.087
0.01 0.01 -1.03 71.087
0.01 0.01 -1.0 71.087
0.01 0.01 -0.97 71.087
0.01 0.01 -0.94 71.087
0.01 0.01 -0.91 71.087
0.01 0.01 -0.88 71.087
0.01 0.01 -0.85 71.087
0.01 0.01 -0.82 71.087
0.01 0.01 -0.79 71.087
0.01 0.01 -0.76 71.087
0.01 0.01 -0.73 71.087
0.01 0.01 -0.7 71.087
0.01 0.01 -0.67 71.087
0.01 0.01 -0.64 71.087
0.01 0.01 -0.61 71.087
0.01 0.01 -0.58 71.087
0.01 0.01 -0.55 71.087
0.01 0.01 -0.52 71.087
0.01 0.01 -0.49 70.8592
0.01 0.01 -0.46 70.1653
0.01 0.01 -0.43 69.4563
0.01 0.01 -0.4 69.5358
0.01 0.01 -0.37 70.1263
0.01 0.01 -0.34 70.7063
0.01 0.01 -0.31 70.9245
0.01 0.01 -0.28 70.4315
0.01 0.01 -0.25 63.0324
0.01 0.01 -0.22 55.4742
0.01 0.01 -0.19 47.5035
0.01 0.01 -0.16 39.3896
0.01 0.01 -0.13 29.8838
0.01 0.01 -0.1 21.6667
0.01 0.01 -0.07 21.6667
0.01 0.01 -0.04 21.6667
0.01 0.01 -0.01 21.6667
0.01 0.01 0.02 71.087
0.01 0.01 0.05 71.087
0.01 0.01 0.08 71.087
0.01 0.01 0.11 71.087
0.01 0.01 0.14 70.4801
0.01 0.01 0.17 69.8612
0.01 0.01 0.2 69.2309
0.01 0.01 0.23 69.5924
0.01 0.01 0.26 70.0984
0.01 0.01 0.29 70.5967
0.01 0.01 0.32 71.087
0.01 0.01 0.35 70.5142
0.01 0.01 0.38 69.9306
0.01 0.01 0.41 69.3367
0.01 0.01 0.44 69.6942
0.01 0.01 0.47 70.3983
0.01 0.01 0.5 71.087
0.01 0.01 0.53 71.087
0.01 0.01 0.56 71.087
0.01 0.01 0.59 71.087
0.01 0.01 0.62 71.087
0.01 0.01 0.65 71.087
0.01 0.01 0.68 71.087
0.01 0.01 0.71 71.087
0.01 0.01 0.74 71.087
0.01 0.01 0.77 71.087
0.01 0.01 0.8 71.087
0.01 0.01 0.83 71.087
0.01 0.01 0.86 71.087
0.01 0.01 0.89 71.087
0.01 0.01 0.92 71.087
0.01 0.01 0.95 71.087
0.01 0.01 0.98 71.087
0.01 0.01 1.01 71.087
0.01 0.01 1.04 71.087
0.01 0.01 1.07 71.087
0.01 0.01 1.1 71.087
0.01 0.01 1.13 71.087
0.01 0.01 1.16 71.087
